Address Name	Booth Number	Latitude	Longitude	Search	Settlement Name	Settlement Number
שמעון הצדיק 23	120.6	31.793629993588496	35.22463997603609	שמעון הצדיק 23, ירושלים	ירושלים	3000
נטר 40	121.0	31.795050013714956	35.22476000488956	נטר 40, ירושלים	ירושלים	3000
יצחק אלחנן 4	134.1	31.770569994938825	35.220859989161085	יצחק אלחנן 4, ירושלים	ירושלים	3000
יצחק אלחנן 4	134.2	31.770569994938825	35.220859989161085	יצחק אלחנן 4, ירושלים	ירושלים	3000
יצחק אלחנן 4	134.3	31.770569994938825	35.220859989161085	יצחק אלחנן 4, ירושלים	ירושלים	3000
יצחק אלחנן 4	134.4	31.770569994938825	35.220859989161085	יצחק אלחנן 4, ירושלים	ירושלים	3000
יצחק אלחנן 4	134.5	31.770569994938825	35.220859989161085	יצחק אלחנן 4, ירושלים	ירושלים	3000
הגדוד העברי 22	149.1	31.766820015277162	35.214580015844945	הגדוד העברי 22, ירושלים	ירושלים	3000
הגדוד העברי 22	149.2	31.766820015277162	35.214580015844945	הגדוד העברי 22, ירושלים	ירושלים	3000
הגדוד העברי 22	149.3	31.766820015277162	35.214580015844945	הגדוד העברי 22, ירושלים	ירושלים	3000
הגדוד העברי 22	149.4	31.766820015277162	35.214580015844945	הגדוד העברי 22, ירושלים	ירושלים	3000
בן לברט 15	150.1	31.77084792414749	35.209983109742275	בן לברט 15, ירושלים	ירושלים	3000
בן לברט 15	150.2	31.77084792414749	35.209983109742275	בן לברט 15, ירושלים	ירושלים	3000
בן לברט 15	150.3	31.77084792414749	35.209983109742275	בן לברט 15, ירושלים	ירושלים	3000
בן לברט 15	150.4	31.77084792414749	35.209983109742275	בן לברט 15, ירושלים	ירושלים	3000
בן לברט 15	150.5	31.77084792414749	35.209983109742275	בן לברט 15, ירושלים	ירושלים	3000
בן לברט 15	150.6	31.77084792414749	35.209983109742275	בן לברט 15, ירושלים	ירושלים	3000
אוסישקין 38	165.1	31.778239981168056	35.212580009928246	אוסישקין 38, ירושלים	ירושלים	3000
אוסישקין 38	165.2	31.778239981168056	35.212580009928246	אוסישקין 38, ירושלים	ירושלים	3000
אוסישקין 38	165.3	31.778239981168056	35.212580009928246	אוסישקין 38, ירושלים	ירושלים	3000
אוסישקין 38	165.4	31.778239981168056	35.212580009928246	אוסישקין 38, ירושלים	ירושלים	3000
הרב והרבנית קאפח 20	188.1	31.788364210579385	35.22148525059844	הרב והרבנית קאפח 20, ירושלים	ירושלים	3000
הרב והרבנית קאפח 20	188.2	31.788364210579385	35.22148525059844	הרב והרבנית קאפח 20, ירושלים	ירושלים	3000
הרב והרבנית קאפח 20	188.3	31.788364210579385	35.22148525059844	הרב והרבנית קאפח 20, ירושלים	ירושלים	3000
