Lat,Long,Title,L,R,C,O,A,M,S
31.27223428800005,34.766553206000026,None,521,617,0,2,118,0,32
31.259820647000026,34.78805426200006,None,12506,15226,0,70,4342,0,995
31.27223428800005,34.809555319000026,None,899,1265,0,9,365,0,107
31.259820647000026,34.83105637500006,None,0,0,0,0,0,0,0
31.27223428800005,34.852557432000026,None,2733,873,0,5,65,0,48
31.259820647000026,34.87405848800006,None,488,283,0,536,90,0,102
31.27223428800005,34.93856165700004,None,76,46,0,33,34,0,1
31.259820647000026,34.96006271400006,None,75,77,0,90,12,0,4
31.259820647000026,35.04606694000006,None,0,0,0,0,0,0,0
31.259820647000026,35.08906905300006,None,262,125,0,66,54,0,8
31.27223428800005,35.19657433500004,None,364,307,0,1,167,0,31
31.259820647000026,35.21807539100007,None,4873,2930,0,19,699,0,241
