Settlement Number,Booth Number,Address Name,Settlement Name
3000,363.0,"שד הרצל,137",ירושלים
3000,364.0,"שד הרצל,137",ירושלים
3000,365.0,"שד הרצל,137",ירושלים
3000,366.0,"מעגל בית המדרש,8",ירושלים
3000,367.0,"מעגל בית המדרש,8",ירושלים
3000,368.0,"מעגל בית המדרש,8",ירושלים
3000,369.0,"תורה ועבודה,6",ירושלים
3000,370.0,"הרב פרנק,20",ירושלים
3000,371.0,"הרב פרנק,20",ירושלים
3000,372.0,"שערי תורה,2",ירושלים
3000,373.0,"תורה ועבודה,6",ירושלים
3000,374.0,"שד הרצל,137",ירושלים
3000,375.0,"הרב פרנק,20",ירושלים
3000,376.0,"שד הרצל,137",ירושלים
3000,377.0,"שד הרצל,137",ירושלים
3000,378.0,"שערי תורה,2",ירושלים
3000,379.0,"הרב פרנק,20",ירושלים
3000,380.0,"שד הרצל,137",ירושלים
3000,381.0,"מוצא תחתית,1א",ירושלים
3000,382.0,"הפסגה,24",ירושלים
3000,383.0,"הפסגה,24",ירושלים
3000,384.0,"הפסגה,24",ירושלים
3000,385.0,"רבי צדוק,12",ירושלים
3000,386.0,"רבי צדוק,12",ירושלים
3000,387.0,"יוסי בן יועזר,24",ירושלים
3000,388.0,"ש פת,3",ירושלים
3000,389.0,"אליעזר הגדול,13",ירושלים
3000,390.0,"יהודה הנשיא,26",ירושלים
3000,391.0,"יוסי בן יועזר,24",ירושלים
3000,392.0,"יוחנן בן זכאי,33",ירושלים
3000,393.0,"יוחנן בן זכאי,33",ירושלים
3000,394.0,"יוחנן בן זכאי,33",ירושלים
3000,395.0,"יוחנן בן זכאי,33",ירושלים
3000,396.0,"רבי חייא,3",ירושלים
3000,397.0,"בן גמלא יהושע,7",ירושלים
3000,398.0,"יהודה הנשיא,26",ירושלים
3000,399.0,"יהודה הנשיא,26",ירושלים
3000,400.0,"אליעזר הגדול,4",ירושלים
3000,401.0,"רבי חייא,3",ירושלים
3000,402.0,"א דרג'י,3",ירושלים
3000,403.0,"אהרוני,14",ירושלים
3000,404.0,"אהרוני,14",ירושלים
3000,405.0,"אהרוני,14",ירושלים
3000,406.0,"אהרוני,14",ירושלים
3000,407.0,"הפלמ""ח,57",ירושלים
3000,408.0,"המשורינים,4",ירושלים
3000,409.0,"אהרוני,14",ירושלים
3000,410.0,"הפלמ""ח,57",ירושלים
3000,411.0,"כובשי קטמון,15",ירושלים
3000,412.0,"המשורינים,4",ירושלים
3000,413.0,"כובשי קטמון,15",ירושלים
3000,414.0,"כובשי קטמון,15",ירושלים
3000,415.0,"כובשי קטמון,15",ירושלים
3000,416.0,"כובשי קטמון,15",ירושלים
3000,417.0,"רחל אמנו,27",ירושלים
3000,418.0,"רחל אמנו,27",ירושלים
3000,419.0,"רחל אמנו,27",ירושלים
3000,420.0,"אליעזר הגדול,4",ירושלים
3000,421.0,"יוסי בן יועזר,24",ירושלים
3000,422.0,"מן,7",ירושלים
3000,423.0,"מן,7",ירושלים
3000,424.0,"מן,7",ירושלים
3000,425.0,"מן,7",ירושלים
3000,426.0,"מן,7",ירושלים
3000,427.0,"מן,7",ירושלים
3000,428.0,"קוסטה ריקה,17",ירושלים
3000,429.0,"קוסטה ריקה,17",ירושלים
3000,430.0,"קוסטה ריקה,17",ירושלים
3000,431.0,"קוסטה ריקה,17",ירושלים
3000,432.0,"דהומיי,16",ירושלים
3000,433.0,"הרפוב הדומיניקנית,3",ירושלים
3000,434.0,"אולשוונגר,48",ירושלים
3000,435.0,"אולשוונגר,3",ירושלים
3000,436.0,"אולשוונגר,3",ירושלים
3000,437.0,"אולשוונגר,3",ירושלים
3000,438.0,"אולשוונגר,3",ירושלים
3000,439.0,"אולשוונגר,3",ירושלים
3000,440.0,"החרצית,10",ירושלים
3000,441.0,"המעיין,2",ירושלים
3000,442.0,"המעיין,2",ירושלים
3000,443.0,"אולשוונגר,48",ירושלים
3000,444.0,"החרצית,10",ירושלים
