L,R,C,A,O,S,M,Total,Highest,Lat,Long
144,79,3,0,16,11,4,257,L,31.761009700000045,34.75706334600005
6,80,5,3,195,0,8,297,O,31.761009700000045,34.80005710100005
191,5,5,1,1,4,0,207,L,31.773420928000064,34.821553978000054
5,71,0,0,122,0,0,198,O,31.761009700000045,34.886044611000045
524,117,10,15,203,6,6,881,L,31.761009700000045,34.97203212000005
20,84,4,0,117,0,1,226,O,31.773420928000064,34.993528998000045
8,58,2,2,58,0,4,132,R,31.773420928000064,35.03652275300004
86,71,12,0,14,1,1,185,L,31.773420928000064,35.07951650800004
270,15,15,0,1,7,3,311,L,31.773420928000064,35.12251026300004
285,365,47,1,115,10,4,827,R,31.761009700000045,35.14400714000004
2163,2044,237,44,5280,403,346,10517,O,31.773420928000064,35.165504018000036
5687,5902,651,61,6622,888,580,20391,O,31.761009700000045,35.18700089500004
11140,8463,1292,261,8364,777,529,30826,L,31.773420928000064,35.208497772000044
4908,4689,621,93,2334,403,213,13261,L,31.761009700000045,35.22999465000004
1052,4354,300,3,2135,877,91,8812,R,31.773420928000064,35.29448528200004
8,54,9,0,15,0,1,87,R,31.761009700000045,35.31598216000003
1812,1958,225,3,995,414,147,5554,R,31.785832156000026,34.62808208100006
8773,12583,686,67,12890,4893,2673,42565,O,31.798243384000045,34.64957895800006
352,754,24,6,1536,1308,314,4294,O,31.785832156000026,34.67107583600006
60,112,11,0,12,0,1,196,R,31.798243384000045,34.69257271300006
871,455,76,2,498,9,16,1927,L,31.785832156000026,34.714069591000055
395,235,27,3,61,13,12,746,L,31.798243384000045,34.73556646800006
920,1003,130,9,851,1036,91,4040,S,31.785832156000026,34.75706334600005
509,545,93,2,446,52,29,1676,R,31.798243384000045,34.778560223000056
3,8,1,0,216,0,2,230,O,31.785832156000026,34.80005710100005
0,0,0,0,0,0,0,0,L,31.798243384000045,34.821553978000054
0,11,0,0,189,0,0,200,O,31.798243384000045,34.86454773300005
177,52,9,0,17,0,4,259,L,31.798243384000045,34.90754148800005
65,69,3,0,23,0,1,161,R,31.798243384000045,34.95053524300005
3,76,0,0,178,0,1,258,O,31.785832156000026,34.97203212000005
20,89,18,1,131,0,1,260,O,31.785832156000026,35.01502587500005
15,90,8,0,131,0,3,247,O,31.798243384000045,35.03652275300004
94,31,4,0,2,0,0,131,L,31.785832156000026,35.05801963000005
232,108,41,1,25,7,2,416,L,31.798243384000045,35.07951650800004
73,163,26,0,92,3,3,360,R,31.785832156000026,35.101013385000044
733,153,25,456,40,3,21,1431,L,31.798243384000045,35.12251026300004
838,1425,94,9,643,18,29,3056,R,31.785832156000026,35.14400714000004
1170,1226,133,13,738,34,24,3338,R,31.798243384000045,35.165504018000036
5032,3488,487,49,5843,335,318,15552,O,31.785832156000026,35.18700089500004
543,2300,84,12,16135,105,577,19756,O,31.798243384000045,35.208497772000044
1675,3023,184,205,9845,121,422,15475,O,31.785832156000026,35.22999465000004
1200,625,141,12,475,58,26,2537,L,31.798243384000045,35.25149152700004
0,0,0,0,0,0,0,0,L,31.798243384000045,35.29448528200004
0,0,0,0,0,0,0,0,L,31.785832156000026,35.31598216000003
40,9,4,1,1,0,0,55,L,31.798243384000045,35.46646030200003
417,528,45,4,450,197,73,1714,R,31.823065840000027,34.64957895800006
263,626,19,1,1795,354,164,3222,O,31.810654612000064,34.67107583600006
22,50,10,0,353,0,1,436,O,31.823065840000027,34.69257271300006
68,53,19,0,457,4,2,603,O,31.810654612000064,34.714069591000055
604,237,59,0,108,4,7,1019,L,31.823065840000027,34.73556646800006
113,52,5,0,5,0,2,177,L,31.810654612000064,34.75706334600005
714,1017,184,16,1008,53,35,3027,R,31.823065840000027,34.778560223000056
353,74,54,0,19,0,3,503,L,31.810654612000064,34.80005710100005
0,0,0,0,0,0,0,0,L,31.823065840000027,34.821553978000054
0,0,0,0,0,0,0,0,L,31.823065840000027,34.86454773300005
